,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,mon_yr,notes,event_id_cnty,event_id_no_cnty
266969,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2019-07,22 July. Supporters of Senator Uwajumogu (APC) protested at the INEC HQ in Abuja to release his certificate of return. [size=hundreds],NIG15046,15046
268857,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2019-07,"On 18 July 2019, staff of an insurance company protested at their office in Abuja over the activities of the management. [size=no report]",NIG15039,15039
269973,Protesters (Nigeria),Labour Group (Nigeria),,,Delta,2019-07,17 July (or around). Workers of an oil company protested at the Eriemu oil field and demanded the payment of their salaries for 2017 and 2018. [size=no report],NIG15022,15022
270102,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2019-07,"On 11 July 2019 (or around), staff of NABTEB in Abuja protested the closure of their office by SARS police forces. [size=no report]",NIG15018,15018
271090,Protesters (Nigeria),Labour Group (Nigeria),,,Kaduna,2019-07,15 July. Sacked workers of a bank in Kaduna protested their dismissal and called for government intervention. [size=60),NIG15013,15013
272769,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-07,11 July. Workers gathered at the Ecobank HQ in Lagos to protest plans to fire employees. [size=no report],NIG14992,14992
274362,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-07,08 July. Ad-hoc workers of the Lagos State Emergency Management Agency protested their dismissal in Alausa. [size=33],NIG14977,14977
274541,Protesters (Nigeria),Christian Group (Nigeria),,,Ogun,2019-07,08 July. Protesters marched to the a church in Loburo and urged their priest to speak on the government's RUGA settlement project. [size=no report],NIG14978,14978
276122,Protesters (Nigeria),Labour Group (Nigeria),,,Delta,2019-07,05 July. Staff of the Warri Refining and Petrochemical Company protested at the companies HQ in Warri and demanded the conversion of their contracts into permanent employment. [size=500],NIG14966,14966
276321,Protesters (Nigeria),Fulani Ethnic Group (Nigeria),,,Delta,2019-07,05 July. Members of a Fulani group protested at the Issele-Azagba junction against the killing of a community member the day before. [size=no report],NIG14965,14965
276619,Protesters (Nigeria),Labour Group (Nigeria),,,Niger,2019-07,04 July (or around). Tanker drivers blocked the Minna-Suleja highway to protest extortion by security personal at checkpoints [size=no report],NIG14962,14962
276942,Protesters (Nigeria),Students (Nigeria),,,Lagos,2019-07,04 July. Students of LASPOTECH protested the shutdown of their institution due to the conflict between the management and the staff. [size=hundreds],NIG14963,14963
277304,Protesters (Nigeria),Women (Nigeria),Gov(Nigeria),,Federal Capital Territory,2019-07,03 July. Women groups protested against a Senator who allegedly slapped a woman. Police forces intervened and dispersed the protest. [size=50],NIG14956,14956
277518,Protesters (Nigeria),Labour Group (Nigeria),,,Osun,2019-07,03 July. Pensioners in Osogbo protested the non-payment of their retirement benefits. [size=no report],NIG14955,14955
277529,Protesters (Nigeria),Labour Group (Nigeria),,,Rivers,2019-07,03 July. Workers of Ascot Limited protested at their HQ in Choba demanding their salaries for the past 14 years. [size=no report],NIG14958,14958
277892,Protesters (Nigeria),NASU: Non-Academic Staff Union; Labour Group (Nigeria),Gov(Nigeria),,Lagos,2019-07,02 July. Staff of Lagos State Polytechnic and members of the NASU protested against the management of their institution. Police forces intervened and fired tear-gas. [size=no report],NIG14949,14949
278338,Protesters (Nigeria),Labour Group (Nigeria),,,Abia,2019-07,01 July. Tricycle operators in Umuahia protested the alleged multiple taxation and extortion by the government. [size=hundreds],NIG14946,14946
278824,Protesters (Nigeria),Protestant Christian Group (Nigeria),,,Federal Capital Territory,2019-06,"On 30 June 2019, supporters of the pastor that allegedly raped a church member gathered in Abuja to demonstrate their loyalty to the pastor. [size=no report]",NIG14933,14933
280560,Protesters (Nigeria),Refugees/IDPs (Nigeria),,,Borno,2019-06,27 June. IDPs in Maiduguri protested the alleged diversion of aid supplies and food by camp managers. [size=thousands],NIG14915,14915
281015,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2019-06,"On 26 June 2019, members of APC protested in Abuja to show their support for President Buhari's Chief of Staff. Protesters called on Buhari to ignore the demonstration staged on June 24 against the Chief of Staff. [size=no report]",NIG14906,14906
281604,Protesters (Nigeria),Labour Group (Nigeria),,,Osun,2019-06,25 June. Pensioners in Osogbo protested the non-payment of their arrears for 15 months. [size=hundreds],NIG14897,14897
282239,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2019-06,24 June. APC members protested in Abuja over an alleged high jacking of President Buhari's administration by his chief of staff. [size=200],NIG14893,14893
285005,Protesters (Nigeria),Labour Group (Nigeria),,,Abia,2019-06,19 June. Youth and workers from Aba South and Aba North LGA protested the appointment of a transition committee at their council HQs in Aba and Eziama Urata. The groups demanded the removal of the two chairmen. [size=no report],NIG14870,14870
285159,Protesters (Nigeria),Labour Group (Nigeria),,,Abia,2019-06,19 June. Youth and workers from Aba South and Aba North LGA protested the appointment of a transition committee at their council HQs in Aba and Eziama Urata. The groups demanded the removal of the two chairmen. [size=no report],NIG14869,14869
285793,Protesters (Nigeria),Women (Nigeria),,,Taraba,2019-06,18 June. Women in Jalingo protested the recent killings of Fulani militias in the area. [size=no report],NIG14865,14865
286827,Protesters (Nigeria),Students (Nigeria),,,Ekiti,2019-06,16 June. Students at Ado Ekiti University protested at their campus and demanded the extension of their examinations. [size=no report],NIG14844,14844
287444,Protesters (Nigeria),Students (Nigeria),,,Anambra,2019-06,15 June (or around). Students from various institutions of Anambra state protested climate change and called for action in Awka. [size=no report],NIG14836,14836
290534,Protesters (Nigeria),Women (Nigeria),,,Rivers,2019-06,10 June. Female residents of Alakohia protested the arrest of the local traditional leader. [size=no report],NIG14820,14820
290636,Protesters (Nigeria),APC: All Progressives Congress,,,Kogi,2019-06,"10 June. APC members protested the non-payment of salaries and pensions, as well as lack of infrastructure development in the area. The protest took place in Lokoja. [size=no report]",NIG14827,14827
293795,Protesters (Nigeria),Students (Nigeria),,,Cross River,2019-06,"03 June. Students of Cross River University of Technology in Calabar protested the 'no fees, no examination' policy of their university. [size=no report]",NIG14785,14785
293835,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2019-06,"On 03 June 2019, staff members of Securities and Exchange Commission in Abuja protested the plans to reinstate the Director General who is accused of corruption. [size=no report]",NIG14789,14789
296913,Protesters (Nigeria),Students (Nigeria),,,Osun,2019-05,29 May. Students of the Osun State College of Education in Ilesa protested the recent deaths of fellow students on the campus. [size=no report],NIG14755,14755
300264,Protesters (Nigeria),Labour Group (Nigeria),,,Anambra,2019-05,23 May. Members of commercial drivers union protested the extortion by illegal revenue collectors on the Enugu-Onitsha expressway. The protest took place in Onitsha. [size=no report],NIG14695,14695
300848,Protesters (Nigeria),Students (Nigeria),Gov(Nigeria),,Ondo,2019-05,"22 May. On the second day of student protests against study fee increase in Akure, Police forces used teargas to disperse the crowd. [size=no report]",NIG14692,14692
301286,Protesters (Nigeria),Students (Nigeria),,,Edo,2019-05,21 May. A students association in Benin city protested the shutdown of various colleges in Edo state. [size=no report],NIG14678,14678
301309,Protesters (Nigeria),Labour Group (Nigeria),,,Osun,2019-05,21 May. Commercial Okada riders protested the imposition of daily fee in Osogbo.[size=no report],NIG14686,14686
301700,Protesters (Nigeria),Students (Nigeria),,,Ondo,2019-05,21 May. Students protested the increase of their study fees in Akure. [size=no report],NIG14685,14685
301897,Protesters (Nigeria),Students (Nigeria),,,Lagos,2019-05,20 May. Residents and students of Badagry protested the bad state of the expressway to Lagos. [size=thousands],NIG14674,14674
302814,Protesters (Nigeria),Labour Group (Nigeria),,,Bauchi,2019-05,18 May. Former workers of a company protested the non-payment of their entitlements in Bauchi. [size=200],NIG14625,14625
303717,Protesters (Nigeria),Labour Group (Nigeria),,,Ekiti,2019-05,17 May. Workers protested the cancellation of their contracts in Ado-Ekiti. [size=2000],NIG14623,14623
305581,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2019-05,"14 May. The Amalgamated Union of Public Corporations, Civil Service Technical and Recreational Services Employees protested their unpaid salaries and illegal promotions at the Standard Organisation of Nigeria in Abuja and Lagos. [size=no report]",NIG14618,14618
305612,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-05,"14 May. The Amalgamated Union of Public Corporations, Civil Service Technical and Recreational Services Employees protested their unpaid salaries and illegal promotions at the Standard Organisation of Nigeria in Abuja and Lagos. [size=no report]",NIG14621,14621
305747,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2019-05,"On 13 May 2019, PDP members protested in Abuja and expressed the lacking confidence in the Presidential Tribunal Handling. [size=no report]",NIG14612,14612
306180,Protesters (Nigeria),Labour Group (Nigeria),,,Ekiti,2019-05,13 May. Workers of the Ekiti State University demanded the full payment of their salaries and protested in Ado-Ekiti. [size=no report],NIG14610,14610
307310,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2019-05,10 May. Women groups marched in Abuja to protest police impunity in cases of sexual assaults committed by police officers. [size=hundreds],NIG14571,14571
307910,Protesters (Nigeria),Labour Group (Nigeria),,,Adamawa,2019-05,05 September. Truck drivers blocked a road in Sangere with their vehicles to protest the street-fight between their colleagues and security forces earlier that day. [size=no report],NIG15296,15296
308222,Protesters (Nigeria),Labour Group (Nigeria),,,Niger,2019-05,09 May. Staff of three universities protested the non-payment of their salaries in Ilorin [size=thousands],NIG14568,14568
308616,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2019-05,08 May. Female protesters complained at the Court of Appeal in Abuja about the practice of INEC to obey the order of court to allow PDP to inspect election materials used on Feb 23. [size=40],NIG14557,14557
308819,Protesters (Nigeria),Students (Nigeria),,,Ondo,2019-05,08 May. Students protested the alleged scrapping of their bursary allowance by the Ondo State Oil Producing Areas Development Commission (OSOPADEC) in Oba-Ile. [size=no report],NIG14559,14559
309200,Protesters (Nigeria),NLC: Nigeria Labour Congress,Unidentified Armed Group (Nigeria),,Federal Capital Territory,2019-05,07 May. A protest of the NLC at the house of the Minister of Labour and Employement in Asokoro was attacked by an unknown armed group. The group carried guns and fired shots at the protesters causing injuries among them. [size=no report],NIG14549,14549
313837,Protesters (Nigeria),Students (Nigeria),,,Ekiti,2019-04,29 April. Students of the Federal University in Oye Ekiti protested the poor learning conditions at their institutions and demanded the release of additional funds. [size=no report],NIG14508,14508
